system:index,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,id,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_225083_19911102,9.0,70.330872,366.0,0.0,1991-11-02T13:08:22,0.0,0.0,581.0,158.00000000000009,Parana_Land_Downstream,3283.0,225.0,72,66.0,435.0,83.0,5,1318.8576233183855,241.13522024881485,531.0,38.417351,
1_1_LT05_225083_19920325,3.0,57.59856,328.0,0.0,1992-03-25T13:08:19,0.0,0.6107086257931664,575.0,205.00000000000003,Parana_Land_Downstream,3550.116509290283,225.0,335,66.0,488.99999999999983,83.0,5,1235.0,118.63278970252752,427.99999999999994,53.543842,
1_1_LT05_225083_19950505,56.0,47.789852,182.67997932969138,1.0,1995-05-05T12:52:18,4.0,1.9421085358128576,426.7384795022313,230.99999999999983,Parana_Land_Downstream,2391.0,225.0,759,72.0,338.7922346137959,83.0,5,859.7361236899986,259.43893904145193,347.00000000000006,65.082832,
1_1_LT05_225083_19950622,33.0,44.236256,468.99999999999994,0.0,1995-06-22T12:50:05,4.0,1.3196656561045366,626.280172413793,241.99999999999991,Parana_Land_Downstream,2068.252715049129,225.0,177,66.0,633.9999999999999,83.0,5,1260.4034473471586,182.02163123630848,692.0,71.737801,
1_1_LT05_225083_19950926,0.0,62.211365,428.81861722672846,0.0,1995-09-26T12:45:36,0.0,1.8964802179376035,637.9999999999999,203.00000000000003,Parana_Land_Downstream,2616.0,225.0,507,66.0,530.9999999999999,83.0,5,1322.3770576131685,257.8315327735396,569.0,52.765358,
1_1_LT05_225083_19961030,45.0,70.314362,696.0,1.0,1996-10-30T13:04:17,0.0,1.6078752027517733,936.0,162.99999999999997,Parana_Land_Downstream,3087.0,225.0,227,96.0,925.0,83.0,5,1662.0000000000002,700.3434172838205,968.25,39.635048,
1_1_LT05_225083_19970203,0.0,78.535172,331.0,0.0,1997-02-03T13:08:47,0.0,1.3348414588389892,588.0,175.99999999999994,Parana_Land_Downstream,3129.0,225.0,47,66.0,467.0,83.0,5,1226.0,118.45059023426077,521.0,43.491211,
1_1_LT05_225083_19970526,56.0,40.331219,4164.0,1.0,1997-05-26T13:12:59,4.0,0.0,4041.0,232.99999999999983,Parana_Land_Downstream,5545.0,225.0,16,224.0,4196.0,83.0,5,3005.0,85.22908009447245,2154.0,66.087425,
1_1_LT05_225083_19970729,26.0,43.484398,500.92066545948387,0.0,1997-07-29T13:15:11,4.0,0.7764309754205228,686.632453990678,230.99999999999983,Parana_Land_Downstream,1969.210478907071,225.0,204,66.0,674.4649688149688,83.0,5,1446.0,168.0209352258338,803.9999999999998,65.065018,
1_1_LT05_225083_19971017,25.0,61.936852,380.99999999999994,0.0,1997-10-17T13:17:32,0.0,1.3528164068448325,608.1137730176625,165.0,Parana_Land_Downstream,2962.9999999999995,225.0,167,66.0,466.0,83.0,5,1216.2295419454451,199.8552159793533,542.0,40.263191,
1_1_LT05_225083_19980121,87.0,80.598839,20000.0,1.0,1998-01-21T13:19:50,2.0,0.0,20000.0,160.00000000000006,Parana_Land_Downstream,20000.0,225.0,686,224.0,20000.0,83.0,5,3015.0,133.36093671808206,2478.0,38.924496,
1_1_LT05_225083_19980310,28.0,61.441948,243.99999999999997,0.9584454499446307,1998-03-10T13:20:45,3.0,1.647838993699885,362.2339681082941,189.00000000000003,Parana_Land_Downstream,1521.5161943319838,225.0,796,72.0,291.0,83.0,5,505.99999999999994,431.9672416966858,243.99999999999997,47.853683,
1_1_LT05_225083_19981223,0.0,83.156837,267.0,0.0,1998-12-23T13:23:17,0.0,0.0,513.0,143.0,Parana_Land_Downstream,3132.0,225.0,58,66.0,344.0,83.0,5,1221.0,142.71169893558047,482.0,34.041759,
1_1_LT05_225083_19990108,3.0,82.620369,290.99999999999994,0.0,1999-01-08T13:23:16,0.0,0.20965617179548704,498.99999999999994,149.99999999999997,Parana_Land_Downstream,3260.097354138399,225.0,363,66.0,387.99999999999994,83.0,5,1159.0,142.42630681987188,437.0,36.120781,
1_1_LT05_225083_19990313,76.0,59.657303,20000.0,1.0,1999-03-13T13:23:16,2.0,0.0,5690.665662943176,190.00000000000003,Parana_Land_Downstream,6317.452865337986,225.0,2095,224.0,5601.324665703596,83.0,5,3224.9213421197715,93.35681012142105,2668.086549825749,48.013378,
1_1_LT05_225083_19990414,0.0,46.976616,224.0,0.0,1999-04-14T13:22:57,0.0,1.4061592906272333,466.9829788506985,211.0,Parana_Land_Downstream,2876.0,225.0,360,66.0,351.0,83.0,5,1095.0,139.73462050138733,405.0,55.659191,
1_1_LT05_225083_19990430,1.0,42.457733,252.0,0.0,1999-04-30T13:22:55,0.0,1.6925953529228817,496.0,220.00000000000026,Parana_Land_Downstream,2782.0,225.0,107,66.0,412.0,83.0,5,1157.9999999999998,143.5434711107543,459.0,59.508732,
